example_id,conversation_id,intent,customer_inquiry,drafted_reply,relevance,groundedness,helpfulness,factual_integrity,brand_consistency,tone,human_notes
golden_034,apple_1924442,BATTERY_POWER_CHARGING,@applesupport does Apple still offer $80 battery replacements for iPhone’s out of warranty????,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_042,apple_2677456,BATTERY_POWER_CHARGING,@741671 @115858 It messed up my charging and the camera wasn’t working,We want to help look into these charging and camera issues with you. Could you send us a DM with your device model and current iOS version so we can assist further?,3,2,3,5,3,4,Human Review: Authentic Apple Support voice (3/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_026,apple_2472898,BATTERY_POWER_CHARGING,"@AppleSupport It happened again. Time, network bars, battery sign, the ears of the notch shifts to the left... 😯😐",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_049,apple_2424349,BATTERY_POWER_CHARGING,@AppleSupport after my iOS updates my battery is not even lasting half the day.....Fix this issue!!!!,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_037,apple_2062728,BATTERY_POWER_CHARGING,@115858 are you trying to make me switch to a new non-apple phone with this update. No battery and half the features don’t work. Fix it!,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_159,apple_393132,DEVICE_PERFORMANCE_CRASH,@AppleSupport My Macbook Air (v10.12.6) crashes with Mac equivalent of #BSOD whenever I get an incoming call on my iPhone. Any way to fix?,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_167,apple_542361,DEVICE_PERFORMANCE_CRASH,@AppleSupport my iPhone keeps restarting 2every 2 mins. How can I fix this?,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_151,apple_1765094,DEVICE_PERFORMANCE_CRASH,@AppleSupport @530924 My phone is stuck like this and i tried turning it off but i cant because i cant touch the screen. I need help https://t.co/gm6ZuKsOF2,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_174,apple_2913291,DEVICE_PERFORMANCE_CRASH,@AppleSupport I tried to do that. Didnt help. The screen continued to be on the apple logo,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_162,apple_2493947,DEVICE_PERFORMANCE_CRASH,my Apple Music keeps crashing :/ help @AppleSupport,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_109,apple_2292403,HARDWARE_PHYSICAL_DAMAGE,@115858 @AppleSupport what can I do if a support representative over the phone has offered an awesome courtesy solution for a repair but the store itself doesn't allow it? .. can a Canadian ship the product back to Apple? Please help! 😢,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_117,apple_1809103,HARDWARE_PHYSICAL_DAMAGE,. @115858 @AppleSupport Took my phone into the Apple store to get repaired this morning at nine. Picked it up at eleven. Phone died at five.,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_101,apple_1016894,HARDWARE_PHYSICAL_DAMAGE,"@AppleSupport Yes, with all of them. Now 11.0.3, still freezing and having to hard reboot! Very angry and disappointed... i have a 6s. Never repaired.",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_124,apple_505056,HARDWARE_PHYSICAL_DAMAGE,@115858 I dropped my phone listening to music &amp; the #dongle broke. #WTF??? #disappointed #apple https://t.co/Eig8Z4WO7W,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_112,apple_1161724,HARDWARE_PHYSICAL_DAMAGE,"@AppleSupport taking my computer in store tomorrow for repair, will the Genius Bar need my user password?",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_184,apple_2069699,OTHER_OR_UNCLEAR,@AppleSupport @118721 WTF is going with #Itunes? I can’t add music to my playlists. I’m so sick of #AppleProducts not working!,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_192,apple_2402203,OTHER_OR_UNCLEAR,@AppleSupport Safari and other apps do not save them in my Gmailccount (but in my Cloudaccount). https://t.co/ucN7JiBDUH,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_176,apple_2154541,OTHER_OR_UNCLEAR,@AppleSupport ... The Animoji on my iPhone 8 Plus isn’t working right ... https://t.co/hFufL3ti5b,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_199,apple_1764477,OTHER_OR_UNCLEAR,@AppleSupport what the fuck is good w these I️ yo.,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_187,apple_1444501,OTHER_OR_UNCLEAR,My earbuds crapped out after only having them for a month wth @115858,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_009,apple_2980714,SOFTWARE_UPDATE_OS,@822111 @115858 Exactly ever since i updated my phone the troubles started &amp; that’s how Apple sabotages your phone to make u get a new one,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_017,apple_1079192,SOFTWARE_UPDATE_OS,Ugh @AppleSupport @115858 the new iOS is so damn glitchy,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_001,apple_1735048,SOFTWARE_UPDATE_OS,#iOS 11.1 bug verified @115858 https://t.co/uBmIpA9EOw,We'd like to look into this with you to see how we can help. Could you tell us your exact device model and current iOS version? Send us a DM with details so we can assist: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_024,apple_957615,SOFTWARE_UPDATE_OS,@AppleSupport I literally had to make a Twitter to contact you. I can’t place or receive calls after iOS 11.3. What do I do?,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_012,apple_1447311,SOFTWARE_UPDATE_OS,@AppleSupport bro fix this shit &amp; my phone slow with this dumb ass update,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
