example_id,conversation_id,customer_inquiry,true_intent,true_escalation_decision,escalation_rationale,ground_truth_brand_reply,is_ambiguous,message_length_chars,turn_count
golden_019,apple_483175,"@AppleSupport Seems I woke up to a new update. Restarted and palpable slowdown in my Safari and Chrome. Start a video and the fan goes like crazy, Safari freezes., Chrome just keeps loading",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@229920 Thanks for letting us know about these issues that you're experiencing. How much storage space is available on your hard drive currently? Let us know in DM and we'll go from there. https://t.co/GDrqU22YpT,False,189,2
golden_020,apple_1021695,@AppleSupport My phone works super slow since I updated it yesterday &amp; it keeps glitching &amp; freezing up I have to close out apps for them to work properly,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@361783 Okay. Let's look into this further. Join us in DM so we can further assist you: https://t.co/GDrqU22YpT,False,162,2
golden_021,apple_2705049,"Ever since the latest update, my iPhone has been a useless piece of shit.I used to love this thing too. Sigh. @115858",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@730385 We'd like to look into your concern with you. Reach out via DM using the link below and let us know what issue you're experiencing. https://t.co/GDrqU22YpT,False,117,2
golden_022,apple_2261586,@115858 You need to fix your letter i’s on the new update. Look at this - I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ !!!!!,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@658464 Are you completely updated to iOS 11.1.1?,False,112,2
golden_023,apple_2361641,"@AppleSupport ANY of those stuf worked, im trying to install the OS High Sierra but still going to sleep mode while doing it! 😤 #wtf??",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@681934 Let's continue to work on this in DM. This way, we can make sure to adjust any settings needed and get macOS High Sierra installed. Use the link below to join us. https://t.co/GDrqU22YpT",False,134,2
golden_024,apple_957615,@AppleSupport I literally had to make a Twitter to contact you. I can’t place or receive calls after iOS 11.3. What do I do?,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@347214 We've received your DM and you can expect a response there shortly.,False,124,2
golden_025,apple_2438570,@AppleSupport The whole phone! Literally when opening up anything or using it generally. Prior to updates it was completely fine https://t.co/eT0p1Xo7pX,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@699457 Thanks. Go ahead and send us over a DM when you have a moment. We'll pick back up there. https://t.co/GDrqU22YpT,False,152,2
golden_026,apple_2472898,"@AppleSupport It happened again. Time, network bars, battery sign, the ears of the notch shifts to the left... 😯😐",BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@707125 Thanks for letting us know. We'd recommend getting this reported to the app developer. This link shows you how to do this towards the bottom of the article: https://t.co/fUZ0NRJxcn,False,113,2
golden_027,apple_620183,"Hey @115858 , long time user! I woke up with 100% and 40 minutes later here I am on 6% ...your battery life is garbage, step it up honey.",BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@267194 We can check into what's going on with your battery. Meet us in DM with your current iPhone model and iOS version to get started, please. https://t.co/GDrqU22YpT",False,137,2
golden_028,apple_1676850,@AppleSupport your latest update is DRAINING my battery and I’m not even getting whatsapp notifications until I open the app 😡,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@510059 We can assist you. Please DM us with your device model via the following link and we'll help you further. https://t.co/GDrqU22YpT,False,126,2
golden_029,apple_2288377,@AppleSupport this new 11.0.3 is s**t I has completely ruined my phone it doesn’t stop crashing and freezing battery is crap now too!!,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@664831 We're here for you. Send us a DM with your country/location, and we'll go from there: https://t.co/GDrqU22YpT",False,134,2
golden_030,apple_1807504,@AppleSupport @115858 @125607 using ios 11.0.3 and even i take help of @AppleSupport and they check for battery and said it is working fine but its not up to the mark,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@543013 Let's continue to investigate this in DM. Join us with the link below. https://t.co/GDrqU22YpT,False,166,2
golden_031,apple_684363,how is that I have a new iPhone 8+ and my battery is at 49% already when I left three hours ago it was at 75%? Fix your shit @AppleSupport,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@283328 Let’s team up to get this addressed. When did you get your new iPhone 8 Plus? Let us know via a DM. We’ll go from there. https://t.co/GDrqU22YpT,False,138,2
golden_032,apple_723689,"@AppleSupport Can you get my iPhone 7plus back on the old iOS please? Battery runs out in half the time, apps now frequently crash.",BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@170599 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this together. https://t.co/GDrqU22YpT,False,131,2
golden_033,apple_633893,"Has anyone else noticed decreased battery life with iOS 11? Mine seems to be running out _much_ faster. Could be age of the phone, but it's only a 2y-old 6S+. @AppleSupport",BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@270260 We can help out with battery life. Do you know what version of the iOS is on the device? If not, you can check under Settings &gt; General &gt; About &gt; Version. https://t.co/GDrqU22YpT",False,172,2
golden_034,apple_1924442,@applesupport does Apple still offer $80 battery replacements for iPhone’s out of warranty????,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@572821 We'd be glad to verify some options for your phone. Please DM us so we can get some info to help us confirm what's available. https://t.co/GDrqU22YpT,False,94,2
golden_035,apple_6752,@AppleSupport Why is iOS 11 draining my 6s plus battery😑😡,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@185386 We can help with battery life. Let's meet up in Direct Message to get started. https://t.co/GDrqU22YpT,False,57,2
golden_036,apple_2152230,@115858 ever since I️ updated this damn phone my battery has been trash! Fix this!,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@632439 We'd like to help. What kind of phone do you have and is it running iOS 11.1? You can check in Settings &gt; General &gt; About,False,82,2
golden_037,apple_2062728,@115858 are you trying to make me switch to a new non-apple phone with this update. No battery and half the features don’t work. Fix it!,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@610042 We'd love to look into all of this with you. Which features aren't working? Let us know in DM and we'll get started. https://t.co/GDrqU22YpT,False,136,2
golden_038,apple_619516,"@AppleSupport iOS 11.0.3 is laggy, unresponsive, battery draining. There are more which cant fit in 140 characters. DO SOMETHING! Fast. Pls.",BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@267018 Thanks for reaching out. DM which iPhone you are using to get started. https://t.co/GDrqU22YpT,False,140,2
golden_039,apple_2784569,@AppleSupport my phone is very slow and battery life is very short only 1 hour when i update to version 11.1.2 what to do now? my phone is 7,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@777495 We'd be happy to look into this with you more in detail. Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT,False,140,2
golden_040,apple_2068808,@AppleSupport Hey i have an issue with my iphone 6. the charging time is very2 slow compare to my iphone se. is there any solution for it?,BATTERY_POWER_CHARGING,ESCALATE,Legal escalation trigger requires human management oversight.,@611800 Hi there. Check this link for help with charging your iPhone: https://t.co/uqxquyfdn0 Need more help? DM us here: https://t.co/GDrqU22YpT,False,138,2
golden_041,apple_1485764,@AppleSupport Hi. I upgraded to 11.1 yesterday. The drain is still very much there.,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@465029 Let's look at this together in DM. Please use this link to meet us there: https://t.co/GDrqU22YpT,False,83,2
golden_042,apple_2677456,@741671 @115858 It messed up my charging and the camera wasn’t working,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@753524 We know how important your camera is. Let us know in a DM what happens when you try to use it. https://t.co/GDrqU22YpT,False,70,2
golden_043,apple_2111550,@AppleSupport I've updated my iphone 7 to iOS 11.1 and battery is draining really fast! I want to come back to iOS 10.3 please!!!!,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@622828 While we can't revert iOS, we can help get this battery issue addressed. How long have you been running iOS 11.1 now? https://t.co/GDrqU22YpT",False,130,2
golden_044,apple_1870934,@AppleSupport iOS 11 ate my battery 😿 https://t.co/1xJWMKDnTY,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@558750 We'd like some details to help. Which iPhone model does this occur on? Let us know in a DM and we'll take it from there. https://t.co/GDrqU22YpT,False,61,2
golden_045,apple_1846237,"@AppleSupport using iOS 11.0.3 on iPhone 6. I should have never updated. My battery used to get me trough a whole day, now it’s dead.",BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@552996 We'd like to help. DM us details on the issue and the country you're in. We'll be happy to continue support there. https://t.co/GDrqU2kzhr,False,133,2
golden_046,apple_2943305,@115858 And the phone just switched itself off with 61% battery. https://t.co/tIGlxIsBAr,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@603303 We'd like to gather some more info about the issues you're experiencing to see how we can help. Send us a DM that includes what type of iPhone you're using and your current iOS version. We'll take it from there. https://t.co/GDrqU22YpT,False,88,2
golden_047,apple_690426,I’ve been awake for less than half an hour and have used my phone for an even shorter time. Battery is at 80% now. FIX THIS @115858 😡,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@284987 We understand how important good battery life is. We can help! Send us a DM and let us know which iPhone you're using. https://t.co/GDrqU22YpT,False,133,2
golden_048,apple_2477665,@AppleSupport can you tell me why why my iPhone 7 can’t last 2 minutes without overheating and acting like it’s not connected to the internet,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@708177 Let's get together and see what we can find out. With regard to the heat, is it something that you sense yourself, or does the device show you a heat warning screen? Regarding the internet, are you normally on Wi-Fi or cellular when you notice this issue?",False,141,2
golden_049,apple_2424349,@AppleSupport after my iOS updates my battery is not even lasting half the day.....Fix this issue!!!!,BATTERY_POWER_CHARGING,ESCALATE,Legal escalation trigger requires human management oversight.,@696212 We can definitely take a look into this for you. About how long has it been since you installed the last update? Are you using an Apple charger with your iPhone?,False,101,2
golden_050,apple_1916684,My iPhone 6s with iOS 11 is sluggish and has reduced battery life. What can I do? @AppleSupport,BATTERY_POWER_CHARGING,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@570885 Hello. We know device performance is important. Send us a DM, and we'll take a look into this. https://t.co/GDrqU22YpT",False,95,2
golden_051,apple_889079,"Hi @AppleSupport, please open up iPhone #NFC to support FIDO #U2F #2FA...cc @67 @331078",APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@331077 Apple certainly welcomes your suggestions. Here’s a great link to submit feedback about this: https://t.co/eTPVYVFyd8,False,87,2
golden_052,apple_1245453,@AppleSupport Is there a way to delete iCloud Photo Library and start over w/o a 30 day wait? Deleting all photos didn't work. https://t.co/qwPfYLeHEK,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@226254 Thanks for reaching out. For assistance with iCloud Photo Library, reach out to our support team here: https://t.co/IBIY3vMgPj",False,150,2
golden_053,apple_1537690,@AppleSupport It was restored but I don’t understand why that needed to happen for a software upgrade. My free iCloud storage apparently ran out June 26.,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@476699 Your iPhone shouldn't have restored to factory settings if you were just updating iOS software. Do you have an iTunes backup?,False,153,2
golden_054,apple_148072,@AppleSupport how do I sign out my Apple ID account without having to verify my account? I know the password to my Apple ID I just can’t verify my account because I forgot my email password I literally had this since the first iPod Touch came out. I just want to sign out,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@149680 We know how important it is to be able to manage your Apple ID and we can assist. Let's chat over in Direct Message so we can go into further details about the process. https://t.co/GDrqU22YpT,False,271,2
golden_055,apple_455073,@AppleSupport I cant access to imessage in an iPad. I have a new apple ID. what's wrong?,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@223023 Let us help you get this sorted out. Is this a new iPad, or did you just change Apple ID's?",False,88,2
golden_056,apple_961123,@AppleSupport why does it take so lone to reset a password. 30 hours and no word yet????,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@348088 We value your privacy and security. We've got an article with more information about account recovery: https://t.co/nXAGZj0EE7,False,88,2
golden_057,apple_1447238,"@AppleSupport if i choose to buy icloud storage, can i use my itunes credit to pay for it?",APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@266930 You can, and we're glad to help! For more information, see the paragraph at the bottom of this article: https://t.co/07sCQA7yoT",False,90,2
golden_058,apple_1407820,@AppleSupport what do you have to do to get an Apple ID and iCloud password reset?! The ‘call’ never comes?! Can’t they do it in store?,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@447236 We'd love to help in any way we can. Check out this link for help with this: https://t.co/pSqXVkcbWx,False,135,2
golden_059,apple_464743,"@AppleSupport OK/Accept button is disabled in the touch bar running on macOS Sierra , after entering Apple ID password for downloading apps from App Store. https://t.co/ueS9luWEE5",APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@225534 We're here to help you use the Mac as you expect. DM us what country or region you're located in. https://t.co/GDrqU22YpT,False,179,2
golden_060,apple_2510963,"@115858 I changed my Apple ID and I went to update my stuff but it brought up the old, disabled one that no longer functions. What do I do? https://t.co/lPx3wBuvTM",APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@715715 We can get you started here. Ordinarily, you would want to sign your Apple ID out of iCloud, the App Store, FaceTime, etc before you change the email address. You will need to speak with our Account Security group here: https://t.co/UJm15vmMM2",False,163,2
golden_061,apple_1918535,why is my iPhone doing this when it’s the correct password @AppleSupport ?????? https://t.co/3yg2P8aAJ6,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@571376 Hey there! We're happy to help. Have you tried restarting your router? Give that step a try, then join us in DM with the result. https://t.co/GDrqU22YpT",False,103,2
golden_062,apple_2744229,"@115858 after the last update, it messed up my Apple ID and won’t accept my password wth do I do now🤦🏻‍♀️",APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@663847 We received your DM and we'll keep working with you there.,False,105,2
golden_063,apple_248744,I need help @AppleSupport how can I download my music from my iCloud?? Please guide me,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@175093 We want to help you get back to enjoying your music; we'll do all we can to help. To start, are you an Apple Music member?",False,86,2
golden_064,apple_2831774,@AppleSupport My photos stopped syncing between iPhone &amp; MacBook pro yesterday. iCloud settings are all correct on both devices. Any suggestions to remedy?,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@788447 We're happy to assist. Which iOS version are you currently running? Go to Settings &gt; General &gt; About for the version. DM us back. https://t.co/GDrqU22YpT,False,159,2
golden_065,apple_662817,@AppleSupport ever since I updated my iPhone 6 to iOS 11.1 (currently at 11.1.2) my battery life is terrible. I lose 10%/hr with the phone locked and in “low power” mode. Support told me it is a known issue with iOS 11.1 When will it be fixed?,APPLE_ID_ACCOUNT_SECURITY,ESCALATE,Legal escalation trigger requires human management oversight.,@277914 Let's take a closer look into this issue further. Select the following link to join us in a DM and we'll continue there. https://t.co/GDrqU22YpT,False,243,2
golden_066,apple_1319789,Locked myself out of my @115858 account and every time I try to check the recovery process it resets....@AppleSupport,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@428179 We want to help. Let's move over to DM so we may look into this further. https://t.co/GDrqU2kzhr,False,117,2
golden_067,apple_2002508,@AppleSupport don’t know how to get help with this: I continuously have to log in with my Apple ID and password in “environment: Sandbox”. What is this and how do I get rid of it? It’s very annoying using navigation.,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@592138 We want to help you find a solution. Please send us a DM with your device type, and software version so we may assist. https://t.co/GDrqU22YpT",False,216,2
golden_068,apple_2965435,"@AppleSupport Which I understand, if i purchased a phone with 11GB of storage. I purchased extra icloud storage, can this not be kept there?",APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@818138 No, but we can try a few things that could help. Would you happen to have access to a computer with iTunes installed? Meet us in a DM, we'll pick it up from there. https://t.co/GDrqU22YpT",False,140,2
golden_069,apple_709060,@AppleSupport trying to restore from iCloud back up. Need 11.02 on new phone first however all I get when attempting to update https://t.co/LSWHrWPkqa,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@289532 We're here to help. Have you tried updating through iTunes? If not you can do so by following these steps: https://t.co/80YRnjDFDk,False,150,2
golden_070,apple_1397360,"@AppleSupport I’ve completely reset my iPad but it’s asking me for a sign in to get back into the device which I don’t know, what can I do?",APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@444949 We’ve received your DM and will continue there shortly. Thank you for your patience.,False,139,2
golden_071,apple_2841993,@115858 u really need to come up with a way for me to access my icloud account when my phone is broken,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@790748 We'd like to get a bit more information about what's going on and make recommendations of how to access your data. Are you unable to access your iCloud account from a computer or other device because of two-step verification? Please DM us. https://t.co/GDrqU22YpT,False,102,2
golden_072,apple_1707652,These damn check boxes @115858 is annoying and I️ can’t fix it because y’all won’t fix my damn iCloud account,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@517485 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,False,109,2
golden_073,apple_31873,My iPhone just signed itself out of iCloud and I lost all of my synced contacts when I tried to sign back in. @AppleSupport,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@123041 Are these contacts on the iCloud website? Check here from a computer and let us know: https://t.co/tmRhWEkIq4,False,123,2
golden_074,apple_1092514,@AppleSupport iCloud music on but won’t load on daughters iMac desktop. Says ‘We couldn’t make your iCloud Music Library available’. Help 😬,APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@377811 We'd like to look into this with you. Send us a DM and we'll start. https://t.co/GDrqU2kzhr,False,139,2
golden_075,apple_368767,"@AppleSupport my dad has updated his phone and it said 'deleted iCloud data' - I signed back into his iCloud, but photos aren't there.",APPLE_ID_ACCOUNT_SECURITY,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@203364 Photos are important. Please send us a DM with more details. We'll do our best to help. https://t.co/GDrqU22YpT,False,134,2
golden_076,apple_1871924,@AppleSupport When connected to a sucky WiFi network everything stops working instead of switching to LTE,AUDIO_CONNECTIVITY_BLUETOOTH,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@558999 Thanks for the details. As there are multiple issues, send us a DM using the link below and we'll continue to help. https://t.co/GDrqU22YpT",False,105,2
golden_077,apple_763100,@AppleSupport Think we're in business: went into a user forum - this seems a common problem! - and it suggested restarting the wifi router. 🤞🏼,AUDIO_CONNECTIVITY_BLUETOOTH,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@246797 Please keep us posted on the results.,False,142,2
golden_078,apple_2590447,@AppleSupport The display flashes on certain apps and sound cuts out on videos sometimes.,AUDIO_CONNECTIVITY_BLUETOOTH,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@733733 Got it, thank you. Let's continue in DM and look into this futher. https://t.co/GDrqU22YpT",False,89,2
